Added 	 增加
Please read the following terms and conditions carefully, and indicate whether you accept their terms.	请阅读以下许可协议，并说明您是否同意这些条款。
Please select a directory	请选择一个目录
Please select a file	请选择一个文件
Please select a file for the recovered project	请选择已还原项目文件的保存目标
Please select a folder	请选择一个文件夹
Please select a project file	请选择一个项目文件
Please select a rule type	请选择规则类型
Please select an empty directory	请选择一个空目录
Please select the JRuby JAR file	请选择JRuby的JAR文件
Please select the Jython standalone JAR file	请选择Jython独立JAR文件
Please select the application type	请选择申请类型。
Please select the build that you want to download.	请选择要下载的版本。
Please select the file for the recovered project.	请选择已还原项目文件的保存目标。
Please select the file for the repaired project.	请选择已修复项目文件的保存目标。
Please select the file you would like to save to.	请选择要保存的文件。
Please select the folder for loading modules	请选择要加载模块的文件夹
Please supply a prefix	请指定前缀
Please supply a regex	请指定正则表达式
Please supply a suffix	请指定后缀
Please visit https://portswigger.net for more details about Burp Suite Professional which contains the full version. 	有关具有完整版本的Burp Suite Professional版本的详细信息，请访问https：//portswigger.net。
Please visit https://portswigger.net/burp/freedownload/ to download the latest version.	转到https://portswigger.net/burp/freedownload/并下载最新版本。
Please wait	请稍等
Please wait ...	请稍等......
Poll Collaborator interactions	轮询协作者交互
Poll every	轮询间隔
Poll now	现在轮询
Poll over unencrypted HTTP	使用未加密的HTTP进行轮询
Polling location (optional):	轮询位置（可选）：
Popularity	声望
Port	端口
Port:	端口：
Position	位置
Position:	位置:
Positions	位置
Predefined Payload Lists	预定义的有效载荷列表
Prefix	前缀
Prefix:	前缀：
Prepend preprocessed payload	在开头添加预处理器有效载荷
Preset Payload Lists	预定义的有效载荷列表
Preset parameters	预设参数
Preset schemes:	预定义格式：
Previous	前
Private key in DER format	DER格式的密钥
Process cookies in redirections	在重定向期间处理cookie
Project file: 	项目文件：
Project options	项目选项
Project saved successfully.	该项目已成功保存。
Prominently highlight unhidden fields	突出显示强制显示字段
Prompt for action	选择每个操作
Prompt for credentials on platform authentication failure	平台身份验证失败时显示凭据提示
Prompt for guidance	显示指导
Prompt for in-browser session recovery	提示浏览器内会话恢复
Protocol	协议
Protocol:	协议：
Proxy (all traffic)	代理（所有流量）
Proxy (use with caution)	代理(使用注意)
Proxy History Logging	代理历史记录
Proxy Interception	代理拦截
Proxy Listeners	代理侦听器
Proxy history documentation	代理历史文档
Proxy history help	代理历史帮助
Proxy history logging	代理历史记录
Proxy host	代理主机
Proxy host, leave blank to connect directly	代理主机，如果直接连接则留空
Proxy host:	代理主机：
Proxy interception help	代理拦截帮助
Proxy port	代理端口
Proxy port:	代理端口：
Purchase Burp Suite Professional	购买Burp Suite专业版
Purpose:	目的:
Python Environment	Python环境
Queued Tasks	队列任务
Random	随机
Rating	评级
Rating:	评级：
Raw	原始值
Re-analyze macro	重新解析宏
Re-analyzing the macro may alter the parameter configuration of macro items. Are you sure you want to continue?	重新分析宏时，宏项的参数设置会发生变化。你想继续吗？
Re-colorize the display based on the current payload markers	使用当前有效载荷标记重新着色显示
Re-enable	重新启用
Re-enter license key	重新输入许可证密钥
Re-record macro	记录宏
Re-recording the macro will delete the current macro items. Are you sure you want to continue?	重新录制宏时，将删除当前宏项。你想继续吗？
Ready	准备完毕
Recent destinations buffer size:	最近的目标缓冲区大小：
Recognize automatically based on message headers	从邮件头部中自动识别
Record a new macro	记录新的宏
Record macro	记录宏
Record the macro items	记录宏项目
Recovering project data	正在恢复的项目数据
Recurse subdirectories	递归子目录
Recursive grep	递归Grep(Recursive grep)
Redirect	重定向
Redirect to host:	重定向目标主机：
Redirect to port:	重定向目标端口：
Redirections	重定向
Redo analysis	重做分析
References	参照
Refetch response	重新获取响应
Reflected DOM issues	反射型DOM问题
Reflected XSS	反射型XSS
Refresh	刷新
Refresh header	刷新头部
Refresh list	刷新列表
Refreshing...	重新刷新中......
Regenerate	再生成
Regenerate CA certificate	再次生成CA证书
Regex	正则表达式
Regex condition to match - leave blank to add a new header	搜索条件 - 为新头部添加留空
Regex match	正则表达式匹配
Registering a user. Estimating time remaining...	用户注册正在进行中。评估剩余时间......
Regular expression	正则表达式
Reinstall	重新安装
Relationship	关系
Release notes	发行说明
Release notes   	发行说明
Release notes:   	发行说明：
Reliability	可信性
Remediation background	重置背景
Remediation detail [where applicable]	重置详情[适用时]
Remove	删除
Remove 100 Continue headers	删除100个“Continue”头部
Remove <object> tags	删除<object>标记
Remove Burp license key	删除Burp的许可证密钥
Remove Burp program executable	删除Burp执行程序
Remove JavaScript form validation	删除JavaScript表单验证
Remove all JavaScript	删除所有JavaScript
Remove all items from the cookie jar	从cookie jar中删除所有项目
Remove all items from the list	从列表中删除所有项目
Remove cookie	删除cookie
Remove duplicate comments	删除重复的评论
Remove duplicate items (same URL and parameters) [calculating...]	删除重复的项目（相同的URL和参数）[计算中...]
Remove duplicates	删除重复项
Remove dupulicate comments	删除重复的评论
Remove from scope	从范围中删除
Remove input field length limits	删除输入字段长度限制
Remove item	删除项目
Remove items with no parameters [calculating...]	删除没有参数的项目[计算中...]
Remove out-of-scope items (based on current suite scope)	删除范围外的项目（基于当前的总体范围）
Remove out-of-scope items (based on current suite scope) [calculating...]	删除范围外的项目（基于当前的总体范围）
Remove saved configuration files	删除保存的设置文件
Remove saved preferences	删除保存的设置
Remove secure flag from cookies	从cookie中删除安全属性
Remove temporary files	删除临时文件
Remove the selected certificate	删除所选证书
Remove the selected cookie	删除所选的cookie
Remove the selected custom parameter location	删除自定义参数位置
Remove the selected header	删除所选头部
Remove the selected item	删除所选项目
Remove the selected items	删除所选项目
Remove the selected listener	删除选定的侦听器
Remove the selected macro	删除选定的宏
Remove the selected parameter	删除所选参数
Remove the selected rule	删除所选规则
Remove the selected task	删除所选任务
Remove unsupported encodings from Accept-Encoding headers in incoming requests	从已接收请求的Accept-Encoding标头中删除不受支持的编码
Rename	重命名
Rename Project	重命名项目
Rename project	重命名项目
Repair project	修复项目
Repairing project, please wait ...	我们正在修理这个项目，请稍等......
Reparse	重解析
Repeat	重复
Repeat every:	以指定的间隔重复：
Repeat request in browser	用浏览器重新发送请求
Repeat the automatic parameter analysis on the current macro items	使用当前宏项重复自动参数分析
Replace	替换
Replace base parameter value	替换原始参数值
Replace current state	替换当前状态
Replace with encodings of:	替换编码为：
Replace with:	替换:
Replace:	替换:
Report bug	报告Bug
Report completed	报告完成
Report issue	报告问题
Report issues	报告问题
Report issues for selected branches	报告所选分支上的问题
Report issues for this branch	报告此分支问题
Report issues for this host	举报此主机问题
Report selected issues	报告所选问题
Report title	报告标题
Request	请求
Request Engine	请求引擎
Request Header	请求头部
Request Headers	请求头部
Request Matching	请求匹配
Request body	请求主体
Request count:	请求数量：
Request first line	请求首行
Request handling	请求处理
Request header	请求头部
Request headers	请求头部
Request in browser	通过浏览器请求
Request item again	重新请求项目
Request items again	重新请求项目
Request map 1 again in a different session context (configured in Options / Sessions)	使用不同的会话上下文再次请求映射1（在选项/会话中设置）
Request param name	请求参数名称
Request param value	请求参数值
Request the root of all directories	请求所有目录的root
Request to Collaborator	到Collaborator的请求
Request to:	请求：
Requests	请求
Requests handled	处理请求
Requests made:	生成的请求：
Requests queued:	请求队列：
Requests:	请求：
Requires Burp Suite Professional	需要Burp Suite专业版
Resource	资源
Resource Pool	资源池
Resource pool	资源池
Resource pools	资源池
Response	响应
Response Comparison	响应比较
Response Modification	响应修改
Response completed	响应完成
Response diffing	响应差异
Response from Collaborator	来自Collaborator的响应
Response header	响应头部
Response headers	响应头部
Response received	接收到的响应
Response to this request	此请求的响应
Responses	响应
Responses processed:	处理响应：
Responses queued for analysis:	响应分析队列：
Responses queued:	响应队列：
Restore completed	恢复完成
Restore defaults	恢复默认值
Restore legacy state file	旧状态文件恢复
Restore original value	恢复原始值
Restore setting from when Burp was last closed	恢复到上一次退出时的状态
Restore state	状态恢复
Restore state wizard	状态恢复向导
Restoring site map - please wait...	恢复站点地图 - 请稍候...
Restrict to requests containing these parameters:	限制包含这些参数的请求：
Results	结果
Results Tab	结果标签
Results table	结果表
Resume	恢复
Resume active scanning	恢复主动扫描
Resume scanner	恢复扫描
Resume spidering	恢复蜘蛛爬行
Resume task execution engine	恢复任务执行引擎
Resume task processing	恢复任务处理
Retest macro	重新测试宏
Retrying failed requests. Estimating time remaining...	重试失败的请求，评估剩余时间...
Reverse substring	反向子字符串
Revert	还原
Revert changes	还原更改
Revert to the original list of items	还原原始项目列表
Review the items you have selected for scanning. Double-click items to view full details. You can remove individual items which you do not wish to scan, or go back to modify your general filters.	请检查您选择扫描的项目。双击该项目以查看详细信息。您可以排除不想扫描的单个项目，也可以返回并更改通用过滤器。
Ruby Environment	Ruby环境
Rule	规则
Rule Actions	规则动作
Rule Description	规则描述
Run a macro	运行宏
Run a post-request macro	请求后执行宏
Run health check ...	健康检查执行......
Run macro:	执行宏：
Run the macro again	重新执行宏
Run the macro to test the handling of parameters	执行宏以测试参数处理
Running	正在运行
Running tasks	运行任务
Runtime file	运行文件(Runtime file)
SOCKS Proxy	SOCKS代理
SOCKS proxy host:	SOCKS代理主机：
SOCKS proxy port:	SOCKS代理端口：
SQL Server specific	SQL Server固有
SSI injection	SSI注入
SSL Ciphers	SSL Ciphers加密
SSL Negotiation	SSL协商
SSL Negotiation Workarounds	SSL协商的解决方法
SSL Pass Through	SSL 穿透
SSL Protocol	SSL协议
SSL Protocols	SSL协议
Sample	样本
Save	保存
Save Burp Collaborator server options	保存Burp Collaborator服务器选项
Save Burp Extender options	保存Burp Extender选项
Save HTML rendering options	保存HTML呈现选项
Save HTTP message display options	保存HTTP消息显示选项
Save Java environment options	保存Java环境选项
Save Javadoc files	保存Javadoc文件
Save Python environment options	保存Python环境选项
Save Ruby environment options	保存Ruby环境选项
Save SOCKS proxy options	保存SOCKS代理选项
Save SSL negotiation options	保存SSL协商选项
Save SSL negotiation workarounds options	保存SSL协商解决方法选项
Save SSL passthrough options	保存SSL传递选项
Save active scanning areas options	保存活动扫描选项
Save active scanning engine options	保存活动扫描引擎选项
Save active scanning optimizati onoptions	保存活动扫描优化选项
Save active scanning optimization options	保存活动扫描优化选项
Save application login options	保存应用程序登录选项
Save attack config	保存攻击设置
Save attack insertion points options	保存攻击插入点选项
Save attack results options	保存攻击结果选项
Save automatic project backup options	保存自动项目备份选项
Save cancelled	保存已取消
Save character set options	保存字符集选项
Save client SSL certificates options	保存客户端SSL证书选项
Save completed	保存完成
Save cookie jar options	保存cookie jar选项
Save copy	保存副本
Save copy of project	保存项目的副本
Save crawler options	保存抓取模块选项
Save encrypted using master password	使用主密码加密并保存
Save encrypted using master password:	使用主密码加密并保存：
Save entire history	保存输入历史记录
Save extract grep options	保存提取的grep选项
Save form submission options	保存表单提交选项
Save header row	保存头部行
Save hostname resolution options	保存主机名解析选项
Save hotkey options	保存热键选项
Save in clear text	以明文保存
Save in-scope items only	仅在范围内保存项目
Save intercept WebSockets messages options	保存WebSocket消息的拦截选项
Save intercept client requests options	保存客户端请求的拦截选项
Save intercept server responses options	保存服务器响应拦截选项
Save interface files	保存接口文件
Save item	保存项目
Save items	保存项目
Save legacy state file	保存旧状态文件
Save live active scanning options	保存实时活动扫描选项
Save live capture options	保存实时捕获选项
Save live passive scanning options	保存实时被动扫描选项
Save logging options	保存日志选项
Save macros options	保存宏选项
Save match and replace options	保存搜索和替换选项
Save match grep options	保存匹配grep选项
Save miscellaneous proxy options	保存其他代理选项
Save miscellaneous proxy settings options	保存其他代理配置选项
Save options	保存选项
Save out-of-scope requests options	保存范围请求选项
Save passive scanning areas options	保存被动扫描选项
Save passive spidering options	保存被动蜘蛛选项
Save paySaves grep options	保存有效载荷grep选项
Save performance feedback options	保存性能反馈选项
Save platform authentication options	保存平台认证选项
Save project options	保存项目选项
Save proxy history logging options	保存代理历史日志选项
Save proxy interception options	保存代理拦截选项
Save proxy listeners options	保存代理侦听器选项
Save redirections options	保存重定向选项
Save report	保存报告
Save request engine options	保存请求引擎选项
Save request headers options	保存请求标头选项
Save response modification options	保存响应操作选项
Save rest api options	保存REST API选项
Save results table	保存结果表
Save scan issue options	保存扫描项目选项
Save scheduled tasks options	保存计划任务选项
Save selected items	保存所选项目
Save server SSL certificates options	保存服务器SSL证书选项
Save session handling rules options	保存会话处理规则选项
Save spider scope options	保存蜘蛛范围选项
Save state	保存状态
Save state wizard	状态保存向导
Save static code analysis options	保存静态代码分析选项
Save status 100 responses options	状态100响应保存选项
Save streaming responses options	保存流媒体响应选项
Save target analysis report	保存目标分析报告
Save target scope options	保存目标范围选项
Save temporary files location options	保存临时文件位置选项
Save the display filter options	保存显示过滤器选项
Save timeouts options	保存超时选项
Save to file	保存到文件
Save to file:	保存到文件：
Save to library	保存到库
Save token analysis options	保存令牌分析选项
Save token handling options	保存令牌处理选项
Save tokens	保存令牌
Save upstream proxy servers options	保存更高级别的代理服务器选项
Save user interface options	保存用户界面选项
Save user options	保存用户选项
Saved preferences	保存的设置
Saving project	保存项目
Saving project...	保存项目......
Scan	扫描
Scan Configuration	扫描设置
Scan Issues	扫描问题
Scan Type	扫描类型
Scan accuracy:	扫描精度：
Scan again	重新扫描
Scan configuration	扫描设置
Scan defined insertion points	扫描定义的插入点
Scan details	扫描细节
Scan everything	全部扫描
Scan from a URL	从URL扫描
Scan next	扫描下一个
Scan queue	扫描队列
Scan queue help	扫描队列帮助
Scan speed:	扫描速度：
Scan type:	扫描类型：
Schedule task	计划任务
Scheduled Tasks	计划任务
Scope	范围
Scope:	适用范围：
Search	搜索
Search cancelled	搜索已取消
Search completed	搜索已完成
Search completed [dynamic search active]	搜索已完成[动态搜索启用]
Search options	搜索选项
Search responses for payload strings	搜索有效载荷字符串的响应
Search...	搜索...
See the documentation for more details on using Burp Clickbandit.	有关使用Burp Clickbandit的详细信息，请参阅文档。
Select BApp File	请选择BApp文件
Select Live Capture Request	选择实时捕获请求
Select a directory	目录选择
Select a directory containing custom payload lists	选择具有自定义有效载荷列表的目录
Select a file	选择文件
Select all	全选
Select bits to flip:	选择要反转的位：
Select by scan type:	按扫描类型选择：
Select configurations to control how the scan is carried out. You can select multiple configurations, and these will be applied in turn to determine the final configuration that is used for the scan. If no configurations are selected, then Burp Scanner's default settings will be used.	请选择控制扫描执行方法的设置。可以选择多个设置，按顺序应用这些设置，并确定最终用于扫描的设置。如果未选择任何设置，将使用Burp扫描仪的默认设置。
Select directory ...	选择目录......
Select directory for log file	选择日志文件目录
Select file ...	选择文件......
Select folder	选择文件夹
Select folder ...	选择文件夹...
Select folder to save file	选择要保存文件的文件夹
Select folder...	选择文件夹...
Select from library	从库中选择
Select generator ...	选择生成器......
Select how HTTP request messages should appear in the report.	选择如何在报告上放置HTTP请求消息。
Select how HTTP response messages should appear in the report.	选择如何在报告上放置HTTP响应消息。
Select individual issues:	选择个人问题：
Select license file	选择许可证文件
Select license key file ...	选择许可证密钥文件...
Select macro:	选择宏：
Select none	取消
Select payload generator	选择有效载荷生成器
Select processor:	选择处理器：
Select project file to import	选择要导入的项目文件
Select rule type	选择规则类型
Select the "extract grep" item from which to derive payloads:	选择“extract grep”项以获取有效载荷：
Select the certificate file	选择证书文件
Select the certificate to use. If no certificates are shown, or some details are missing, enter your PIN and click "Refresh". You can double-click on an item to view the full details of the certificate.	请选择要使用的证书。如果未显示证书，或者缺少某些详细信息，请输入PIN并单击“刷新”。双击该项以查看证书的详细信息。
Select the configuration that you would like to load for this project.	请选择要加载到此项目的设置。
Select the extension-provided payload generator that you want to use. Burp extensions can be loaded using the Extender tool.	请从生成有效内容的扩展中选择要使用的那个。扩展器可以读取Burp扩展。
Select the file containing the CA certificate to import.	请选择包含要导入的CA证书的文件。
Select the file containing the keystore to import, and the password for the keystore.	请选择包含要导入的密钥库的文件，然后输入密钥库密码。
Select the file containing the private key to import.	请选择包含要导入的密钥的文件。
Select the file from which to read payloads at runtime	选择文件以在运行时加载有效内容
Select the file where the report will be saved.	请选择一个文件来保存报告。
Select the folder where Burp Infiltrator should be saved:	请选择将保存Burp Infiltrator的文件夹：
Select the folder where the download will be saved.	请选择一个文件夹以保存下载的文件。
Select the folder where the new version of Burp will be saved.	请选择一个文件夹以保存新版本的Burp。
Select the input file from which Burp's state will be loaded.	请选择文件以阅读Burp的状态。
Select the items from the proxy history that you wish to include in the macro, and click "OK". Note that to record a macro now using your browser you will need to ensure that proxy interception is turned off.	请选择要包含在宏中的代理历史记录项，然后单击“确定”。请注意，为了立即使用浏览器记录宏，您需要确保关闭代理拦截。
Select the items on the basis of which Burp will match individual requests in one site map with requests in the other site map. The default settings will work effectively for most situations.	请选择一个项目以匹配每个站点地图的每个请求到Burp。在大多数情况下，它可以有效地使用默认设置。
Select the location in the response where the token appears.	请选择令牌在响应中显示的位置。
Select the name of the new project file.	请选择一个新的项目文件名。
Select the output file to which Burp's state will be saved.	请选择一个输出文件以保存Burp的状态文件。
Select the parameters to relocate within the request. Moving parameters can help to evade some filters, but results in many more scan requests.	请在请求中选择要重新排列的参数。您可以通过移动参数来避免某些过滤器，但会发生更多扫描请求。
Select the project file from which to load this site map.	请选择要加载到此站点地图中的项目文件。
Select the project file to import.	请选择要导入的项目文件。
Select the source to use for this site map.	请选择要用作此站点地图的输入。
Select the state file from which to load this site map.	请选择要加载到此站点地图中的状态文件。
Select the tools that this rule will be applied to.	请选择要应用规则的工具。
Select the tools whose traffic will be inspected to select items that are processed by the live scan.	请选择检查流量的工具，然后选择要在实时扫描中处理的项目。
Select the type of application that you want to instrument:	请选择要实例化的应用程序类型：
Select the type of task you want to run.	请选择要执行的任务类型。
Select the types of details to include in the report.	请选择要包含在报告中的详细信息。
Select the types of issues to include in the report.	请选择要包含在报告中的问题。
Select to use regular expression matching. Deselect to make matches literal.	选择它时搜索为正则表达式。取消选择时搜索为字符串。
Select whether items to be processed are deduplicated based on their URL and parameter names. Use this option to avoid scanning the same item more than once.	请根据URL和参数名称选择是否对要处理的项目进行重复数据删除。使用此选项，您不会多次扫描同一项目。
Selected	已选择
Selected file is a Burp state file	所选文件是Burp的状态文件
Selected generator:	选定的生成器
Selected rows	选定的行
Send requests here from other tools to configure a live capture. Select the request to use, configure the other options below, then click "Start live capture".	从其他工具发送实时捕获设置请求。请选择要使用的请求，设置其他选项，然后单击“开始实时捕获”。
Send to Comparer (request)	发送给对比器（请求）
Send to Comparer (requests)	发送给对比器（请求）
Send to Comparer (response)	发送给对比器（响应）
Send to Comparer (responses)	发送给对比器（响应）
Sensitive	敏感
September	9月
Sequential	顺序
Server SSL Certificates	服务器SSL证书
Server location:	服务器位置：
Server responses	服务器响应
Server-level issues	服务器级问题
Server-side code injection	服务器端代码注入
Server-side template breakout	服务器端模板操作
Server-side template injection (requires reflected XSS)	服务器端模板注入（需要反射型XSS）
Server-side variable names	服务器端变量名称
Service URL:	服务URL：
Service running	服务运行中
Session Handling Rules	会话处理规则
Session handling rule editor	会话处理规则编辑器
Session handling tracer	会话处理跟踪器
Session handling tracer [paused]	会话处理跟踪器[停止]
Session handling tracer help	会话处理跟踪器帮助
Session is not running	会话并未运行
Session is running	会话正在运行
Sessions	会话
Set "Connection close" on incoming requests	将“连接关闭”设置为接收请求
Set Connection: close	设置连接：关闭
Set a specific cookie or parameter value	设置指定的cookie和参数值
Set confidence	设置信任级别
Set response header "Connection: close"	响应标头中设置了“连接：关闭”
Set severity	设定风险等级
Set the details by pasting a URL	粘贴URL并设置详细信息
Set unmatched fields to:	为非匹配字段设置的值：
Settings	设定
Severity	风险
Short words	简短的话
Shortest:	最短:
Show all	全部显示
Show all differences between the two responses	2显示响应中的所有差异
Show details	查看详情
Show full documentation	查看完整文档
Show full help	显示所有帮助
Show in UI	在UI中显示
Show issue definition	显示问题定义
Show new history window	显示新的历史窗口
Show new site map window	在新窗口中显示站点地图
Show only commented items	仅显示已评论的项目
Show only highlighted items	仅显示彩色项目
Show only in-scope items	仅在范围内显示项目
Show only parameterized requests	仅显示带参数的请求
Show only requested items	仅显示请求的项目
Show only:	表示:
Show progress dialog during backups	备份期间显示进度对话框
Show response in browser	在浏览器中显示响应
Show this dialog during backups	备份期间显示此对话框
Showing all items	显示所有项目
Showing selected items	显示所选项目
Showing selected items 	显示所选项目
Shut down Burp and launch downloaded file	关闭Burp并启动下载的文件
Shut down Burp and run new version	关闭Burp并开始新版本
Significance Levels	重要性级别
Simple list	简单清单(Simple list)
Simple string	简单的字符串
Simulate manual testing	模拟手动测试
Simulation running	模拟执行
Site map	站点地图
Site map documentation	站点地图文档
Site map help	站点地图帮助
Size	大小
Skip all tests for these parameters:	跳过这些参数的所有测试：
Skip checks unlikely to be effective due to insertion point's base value	跳过检查不太可能受影响的插入点的原始值
Skip if matches regex	如果匹配正则表达式，请跳过
Skip server-side injection tests for these parameters:	跳过这些参数的服务器端注入测试：
Slot	插槽
Smart decode	智能解码
Sniper	狙击手（Sniper）
Some items could not be cleaned up.	某些项目无法删除。
Some macros are being used by session handling rules and cannot be deleted.	某些宏无法删除，因为它们用于会话处理规则。
Some of the specified URLs to scan are out of scope.	为扫描指定的部分URL超出范围。
Some of these items are outside the current spidering scope. Would you like to modify the scope to include the items?	其中一些项目超出了当前的访问范围。是否要修改范围以包含此项？
Some of these items are outside the current target scope. Are you sure you want to perform an active scan?	其中一些项目超出了当前范围。您确定要执行主动扫描吗？
Some passwords were encrypted using a different master password. Please enter the master password for the following configuration.	某些密码使用另一个主密码加密。请输入以下设置的主密码。
Source	源
Source:	源：
Specific address:	指定地址：
Specific string:	指定文字列:
Specify a prefix for URLs you want to match.	请指定您要匹配的网址的前缀。
Specify a regular expression to match each URL component, or leave blank to match any item. An IP range can be specified instead of a hostname.	指定要匹配每个URL的正则表达式，或将其留空以匹配任何项目。您可以指定IP范围而不是主机名。
Specify the account credentials that should be submitted to any login functions. The crawler will use these to discover authenticated content behind login functions.	请指定要发送到登录功能的帐户凭据。爬行程序使用这些来在登录身份验证后检测内容。
Specify the details of the form field completion rule.	请指定表单字段完成规则详细信息。
Specify the details of the interception rule.	请指定拦截规则的详细信息。
Specify the details of the match/replace rule.	请指定搜索和替换规则详细信息。
Specify the details of the server to which the request will be sent.	请指定发送请求的服务器的详细信息。
Specify the host and port details for the target, or leave blank to match any item. An IP range can be specified instead of a hostname.	请将其留空以指定目标主机和端口详细信息或匹配任何项目。您可以指定IP范围而不是主机名。
Specify the host(s) for which the certificate should be used, and the certificate type. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot), or leave the field blank to apply to all hosts.	选择使用证书的主机及其证书类型。您可以使用通配符（*表示零个或多个字母，？对于除dot之外的任何字符）指定目标主机，或将其留空以应用于所有主机。
Specify the items to include in this site map. If you want to re-request the site map in a different session context, you should restrict to in-scope items and also ensure that the defined scope excludes any requests that modify that context, including login and logout.	请指定要包含在此站点地图中的项目。如果要在不同的会话上下文中重新请求站点地图，请将其限制为作用域中的项目，并确保更改上下文的请求（包括登录和注销）超出范围。
Specify the options for re-requesting the site map. Ensure you have configured suitable session handling rules for the target tool, in Options / Sessions. These rules will be applied to requests when re-requesting the site map.	请指定重新申请Sitemap的选项。在选项/会话中，请确保正确设置目标工具的会话处理规则。这些规则适用于重新访问Sitemap的请求。
Specify the resource pool in which the scan will be run. Resource pools are used to manage the usage of system resources across multiple tasks.	请指定要扫描的资源池。资源池用于管理跨多个任务的系统资源使用情况。
Specify the title and structure to use in the report.	请指定要在报告中使用的标题和结构。
Spectral	光谱
Spectral Analysis - Significance Levels	光谱分析 - 显着性水平
Spectral tests	光谱测试
Spider Engine	蜘蛛引擎
Spider Scope	蜘蛛范围
Spider Status	蜘蛛状态
Spider from a URL	从URL运行蜘蛛
Spider from discovered content	从发现的内容运行蜘蛛
Spider from here	从这里运行蜘蛛
Spider is paused	蜘蛛已暂停
Spider is running	蜘蛛正在运行中
Spider requests queued:	使用蜘蛛爬行请求队列：
Spider selected items	使用蜘蛛爬行所选项目
Spider this branch	使用蜘蛛爬行这个分支
Spider this host	使用蜘蛛爬行这个主机
Standard Error	标准错误
Standard Output	标准输出
Start	开始
Start Burp	进入Burp
Start after expression:	从表达式开始：
Start at offset:	在偏移处开始：
Start at:	开始时间:
Start attack	开始攻击
Start directory:	开始目录：
Start live capture	开始实时捕捉
Start time	开始时间
Start time:	开始时间:
Starting project, please wait ...	项目正在开始，请稍候......
Static Code Analysis	静态代码分析
Static URLs	静态URL
Static analysis	静态解析
Static code analysis	静态代码分析
Status	状态
Status 100 Responses	状态 100 响应
Status code	状态代码
Step:	步长：
Stop	停止
Stop at maximum:	达到最大数量时停止：
Stop if duplicate payload found	检测到重复有效载荷时停止
Stop sending out-of-scope items to Proxy history and other Burp tools	停止将未经过处理的项目发送到代理历史记录或其他Burp工具
Store full payloads	保存所有有效载荷
Store requests	保存请求
Store responses	保存响应
Store streaming responses (may result in large temp files)	保存流式响应（可以创建大型临时文件）
Stored DOM issues	存储型DOM的问题
Stored XSS	存储型XSS
Streaming Responses	流式响应
Streaming response [double-click to cancel]	流式响应[双击取消]
Streaming response [not stored]	流式响应[未保存]
String echo	文字列表示
Strip Accept-Encoding headers in incoming requests	从收到的请求中删除Accept-Encoding标头
Strip Proxy-* headers in incoming requests	从收到的请求中删除Proxy- *标头
Strip Sec-WebSocket-Extensions headers in incoming requests	从传入请求中删除Sec-WebSocket-Extensions标头
Strip chunked encoding metadata in streaming responses	从流响应中删除分块编码元数据
Subject	主题
Submit BApp rating	BApp评级传输
Submit anonymous feedback about Burp's performance	匿名发送Burp的表现
Submit form	表格提交
Submit rating	发送评级
Substring	部分文字列
Success	成功
Suffix:	后缀：
Suite options	套房选择
Suite scope	总体范围
Summary	汇总
Summary bar chart	汇总条形图
Summary table	汇总表
Support Center	支持中心
Support invisible proxying (enable only if needed)	支持透明代理（仅在必要时启用）
Suppress Burp error messages in browser	抑制浏览器的Burp错误消息
Suspicious input transformation	可疑的输入值转换
Sync selection	同步选择
Sync views	同步显示
Tab	标签
Table of contents levels	内容级别表
Tabs	标签
Take full ownership of the project	获得项目的完全所有权
Target Scope	目标范围
Target: Not specified	目标：未指定
Task	任务
Task Type	任务类型
Task auto-start	自动任务启动
Task details	任务细节
Task execution is paused	任务执行已暂停
Task execution settings	任务执行设置
Tasks	任务
Tasks queued:	任务队列：
Temporary Files Location	临时文件位置
Temporary files	临时文件
Temporary project	临时项目
Tentative	暂定
Terms and Conditions	条款和条件
Test Description	测试描述
Test all extensions observed in use on target site, except for:	测试目标站点中使用的所有扩展，但以下内容除外：
Test file stems with no extension	文件名没有扩展名
Test in browser	用浏览器测试
Test macro	测试宏
Test these extensions:	测试以下扩展名：
Test these variant extensions on discovered files:	在找到的文件上测试这些扩展名：
Testing macro:	正在测试的宏：
The BApp Store contains Burp extensions that have been written by users of Burp Suite, to extend Burp's capabilities.	BApp商店扩展了扩展Burp功能，由Burp Suite用户编写。
The Community Edition of Burp Suite contains a demo version of Burp Intruder. Some functionality is disabled, and attacks are time throttled.	Burp Suite的社区版本包含Burp 攻击器的演示版本。某些功能已被禁用，攻击会定时。
The REST API can be used by other tools to integrate with Burp Suite. This function exposes sensitive functionality and data, and you should read the full documentation before enabling the service.	您可以使用REST API将Burp Suite与其他工具集成。此功能公开高度机密的功能和数据，因此您需要在启用服务之前阅读所有手册。
The actions below will be performed in sequence when this rule is applied to a request.	此规则按顺序执行并应用于请求。
The certificate and private key were successfully exported.	证书和私钥已成功导出。
The certificate and private key were successfully imported.	证书和私钥已成功导入。
The certificate was loaded successfully.	证书成功加载。
The certificate was successfully exported.	证书成功导出。
The chart indicates the degree of confidence in the randomness of the sample at each bit position. The significance level at each position is the probability of the observed bit-level results occurring, assuming that the sample is randomly generated.	该图显示了每个位位置处样本随机性的可靠性。假设样本是随机生成的，每个位置的显着性水平是观察到的位级别的发生概率。
